architecture	update	activation	dropout	n_filters	                learning_rate	n_hidden	mini_batch_size	                cv0_PCC	cv0_AUC	cv0_epoch	                cv1_PCC	cv1_AUC	cv1_epoch	                cv2_PCC	cv2_AUC	cv2_epoch	                cv3_PCC	cv3_AUC	cv3_epoch	                cv4_PCC	cv4_AUC	cv4_epoch	                PCC	AUC
1_9_3_aa	adam	sigmoid	0.199526231497	2	0.0001	1	316	0.447547146684	0.733333150335	487	0.377871367869	0.692603820743	491	0.392401181811	0.66024715649	473	0.340691070857	0.643288358352	471	0.258671370048	0.614872952918	461	0.365335028924	0.673840426153
1_9_3_aa	adam	sigmoid	0.0	13	0.00215443469003	1	316	0.529533097638	0.766868806886	232	0.559993166131	0.77212929386	465	NA	NA	NA	0.545147966359	0.769375191379	97	0.446853177539	0.700241525252	194	0.519430626827	0.752309212769
9aa	sgd	rectify	0.501187233627	1	2.15443469003e-05	4	17	0.220255466045	0.610883132729	479	0.157199106713	0.56917326268	486	8.63078003002e-17	0.5	140	-5.50012070601e-17	0.5	496	NA	NA	NA	0.131343023021	0.55751742665
feature_channel_9_3_aa	rmsprop	rectify	0.501187233627	50	0.00215443469003	1	4	8.8178890084e-17	0.5	156	1.25181148592e-16	0.5	283	NA	NA	NA	0.512520192072	0.750113665536	374	1.57652297304e-16	0.5	63	0.257313606142	0.600960300781
9_3_aa	adam	sigmoid	0.199526231497	50	1.0	501	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9aa	rmsprop	tanh	1.25892541179	1	1e-06	501	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9_3_aa	rmsprop	rectify	0.0	8	0.0001	501	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_9_3_aa	sgd	rectify	0.199526231497	5	0.01	105	316	0.43888982496	0.719595699647	499	0.306095667243	0.64761985551	493	0.529774636057	0.751520996785	493	0.378291293301	0.678154539989	497	0.34282122943	0.653608987026	472	0.408303041325	0.694409201016
1_9_3_aa	rmsprop	rectify	0.199526231497	32	0.215443469003	501	316	nan	0.5	500	NA	NA	NA	nan	0.5	71	nan	0.5	86	NA	NA	NA	nan	0.5
1_9_3_aa	adam	tanh	0.199526231497	13	0.215443469003	22	74	nan	0.5	171	nan	0.5	302	0.363462994366	0.658057162273	464	0.133009423174	0.555565238064	183	nan	0.5	144	0.211121442126	0.578211636481
feature_channel_9_3_aa	sgd	sigmoid	0.501187233627	8	0.01	22	74	0.528303201646	0.7705248058	499	NA	NA	NA	0.46497705629	0.707430791149	500	0.532660563653	0.754975062379	488	0.481250260897	0.72333624826	490	0.500158910334	0.737749377653
9aa	sgd	sigmoid	0.501187233627	50	0.000464158883361	4	1	0.591738218432	0.800847211148	492	NA	NA	NA	0.64151320234	0.802312224751	499	0.585899683967	0.795227809633	491	0.522507351332	0.763777221587	488	0.584799775748	0.79050017286
9aa	sgd	tanh	0.0	3	4.64158883361e-06	501	1	0.584250726328	0.791903065539	500	0.614446459496	0.793225095506	500	0.693550619409	0.813306124492	497	0.632544779926	0.81225607573	499	0.572264838086	0.777504475797	497	0.629025625725	0.799272018152
9_3_aa	rmsprop	tanh	1.25892541179	1	0.01	1	74	-0.151738017178	0.420105614382	348	0.0160606588456	0.505325349065	461	-0.0535909563233	0.475007697026	15	-0.0181132762443	0.453062640986	296	-0.0355509650423	0.489242751316	469	-0.0575331689987	0.464095659147
1_9_3_aa	rmsprop	tanh	0.199526231497	50	1.0	4	1	8.8178890084e-17	0.5	37	nan	0.5	48	-8.63078003002e-17	0.5	211	1.0	0.5	275	-0.0359112482028	0.496869380865	119	-0.00486621523498	0.48793391876
9aa	adam	rectify	0.501187233627	32	0.00215443469003	4	1	8.8178890084e-17	0.5	430	-1.25181148592e-16	0.5	138	NA	NA	NA	-5.50012070601e-17	0.5	409	NA	NA	NA	0.0167920144032	0.506880880161
1_9_3_aa	adam	rectify	0.501187233627	50	1e-06	105	1	0.327215304767	0.673452713208	195	0.319271906789	0.664635443302	94	0.303229063541	0.647608551484	284	0.425004098049	0.698068206885	495	0.389380938713	0.679627513782	286	0.295921142765	0.637053701429
1_9_3_aa	sgd	tanh	0.0	32	0.000464158883361	4	1	0.585909408917	0.792933701316	461	0.605627138133	0.791280767241	336	0.694123476869	0.8155878538	491	0.621012397092	0.809994110433	386	0.537586995383	0.765887128747	497	0.620488880915	0.796986671597
9aa	adam	rectify	0.0	3	0.0001	105	17	0.663044299612	0.831793007533	44	0.698791419678	0.84002234071	104	0.773438661384	0.860707617188	90	0.696794566492	0.849551326392	55	0.685275041949	0.839154074341	98	0.712438774708	0.845643310758
1_9_3_aa	adam	tanh	0.0	32	1.0	105	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9aa	sgd	rectify	0.199526231497	3	1.0	105	17	0.0370313194582	0.5	390	-0.0489547518516	0.5	373	-0.0290257070406	0.5	446	nan	0.5	68	-0.0976152520197	0.5	288	-0.0246485197668	0.492567715743
feature_channel_9_3_aa	rmsprop	rectify	1.25892541179	21	4.64158883361e-06	4	4	-0.0381173299194	0.476136128451	417	NA	NA	NA	-0.123211256187	0.461049651966	338	-0.0148967329127	0.491433132821	7	0.0456515434476	0.530257988537	209	-0.0176397427725	0.497871856731
9_3_aa	sgd	rectify	0.0	5	0.0464158883361	22	1	0.517733359958	0.744538768742	16	0.550161778995	0.748150278523	17	0.483195378698	0.71383966304	18	NA	NA	NA	-0.0497020258218	0.490556985053	2	0.292818704593	0.627489279236
feature_channel_9_3_aa	rmsprop	rectify	0.0	2	0.000464158883361	105	17	0.665431547643	0.832943816535	22	0.69140047421	0.838716948486	37	NA	NA	NA	0.698542114124	0.848737211194	59	0.68031988513	0.836738060899	69	0.683871950304	0.839302480826
9_3_aa	adam	rectify	0.0	1	2.15443469003e-05	4	1	-0.0121779251298	0.499924573842	14	NA	NA	NA	0.685709061329	0.816712395198	402	0.637077949422	0.820585392901	326	0.560518219616	0.766022748912	418	0.563603642778	0.759076075751
9aa	adam	sigmoid	0.0	21	0.00215443469003	501	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9aa	adam	sigmoid	1.25892541179	1	0.215443469003	1	4	-0.0764128157215	0.489593430606	434	NA	NA	NA	-0.0322751103839	0.480786246848	217	-0.0793434446544	0.4984227637	311	0.0536219143463	0.511503247392	363	0.023267258479	0.512737780477
1_9_3_aa	sgd	tanh	0.501187233627	2	0.00215443469003	501	17	0.471069275768	0.736373730738	457	NA	NA	NA	0.376638075304	0.673130573759	495	0.461846608264	0.720991189226	398	0.381930025506	0.678246318686	390	0.421331067911	0.70320580823
feature_channel_9_3_aa	adam	sigmoid	0.0	21	0.215443469003	105	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_9_3_aa	adam	sigmoid	1.25892541179	5	0.00215443469003	501	17	-0.0388119981856	0.471228079538	336	NA	NA	NA	0.206589830983	0.576425252217	260	-0.141324832542	0.42707438045	233	NA	NA	NA	-0.0232967578134	0.493797056667
1_9_3_aa	sgd	tanh	1.25892541179	21	2.15443469003e-05	1	1	-0.0982312647515	0.440116979371	1	0.0809254529676	0.552005784875	449	0.110338373361	0.537868286613	6	0.0769041766741	0.541869330478	476	0.0741051141775	0.535543448401	403	0.0503134212894	0.537127322329
9_3_aa	adam	tanh	0.0	21	0.00215443469003	22	4	NA	NA	NA	0.00942744687423	0.5	153	8.63078003002e-17	0.5	410	5.50012070601e-17	0.5	152	0.00271324848118	0.5	341	0.0900833105774	0.531569540925
9aa	sgd	tanh	0.199526231497	50	0.0001	1	316	0.333610446467	0.676140746462	498	NA	NA	NA	0.204673585289	0.666502292719	499	-0.0892037926149	0.436308214185	482	0.0698626718909	0.488840670987	491	0.147111815047	0.558239933636
feature_channel_9_3_aa	sgd	rectify	0.199526231497	1	2.15443469003e-05	1	17	nan	0.5	494	-1.25181148592e-16	0.5	491	0.173839420886	0.535830037952	482	-5.50012070601e-17	0.5	484	-1.57652297304e-16	0.5	477	0.0681902502346	0.521926648715
1_9_3_aa	adam	rectify	0.0	8	0.01	22	1	-8.8178890084e-17	0.5	195	-1.25181148592e-16	0.5	75	1.15077067067e-16	0.5	402	-5.50012070601e-17	0.5	175	nan	0.5	305	0.0917993235893	0.533772309209
feature_channel_9_3_aa	rmsprop	tanh	0.0	21	0.215443469003	4	17	8.8178890084e-17	0.5	487	1.25181148592e-16	0.5	33	8.63078003002e-17	0.5	418	5.50012070601e-17	0.5	183	0.128787074434	0.540400644327	311	0.107051587925	0.543475845444
feature_channel_9_3_aa	rmsprop	rectify	0.199526231497	2	0.0001	501	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9_3_aa	rmsprop	rectify	0.0	13	0.0001	501	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9_3_aa	adam	sigmoid	1.25892541179	1	0.00215443469003	501	74	0.144529967925	0.584873965252	361	NA	NA	NA	-0.0320722723614	0.495859468103	20	-0.177154081748	0.40744853348	345	0.0571451099346	0.532728690991	22	-0.0775754411181	0.469209707642
feature_channel_9_3_aa	sgd	rectify	0.0	32	1e-06	4	316	0.0819482498427	0.544339177041	498	0.0927797426925	0.553381262735	500	-0.137246934789	0.44173713982	498	0.0279967827289	0.509658804644	493	0.0950476290678	0.543763130826	500	0.0404767564637	0.521339430549
9aa	sgd	rectify	1.25892541179	1	0.00215443469003	105	74	-0.0413061087558	0.452130991803	1	NA	NA	NA	0.00150980674381	0.518266053129	208	NA	NA	NA	0.165943431062	0.581317078424	469	0.0661676835042	0.535813855887
9aa	sgd	tanh	0.0	21	0.0001	4	4	0.616140745949	0.810505190559	196	NA	NA	NA	0.732695497253	0.836410680546	488	0.653134943866	0.824536680928	394	0.640085325807	0.816972402243	388	0.672320455823	0.823729475246
feature_channel_9_3_aa	adam	sigmoid	0.0	5	0.215443469003	105	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
feature_channel_9_3_aa	adam	sigmoid	0.199526231497	5	0.215443469003	22	316	nan	0.5	396	NA	NA	NA	8.63078003002e-17	0.5	429	NA	NA	NA	nan	0.5	88	0.104141838971	0.541442942662
feature_channel_9_3_aa	sgd	sigmoid	0.501187233627	8	0.01	1	316	-0.0456937892657	0.498973441314	81	0.0702537217063	0.563046502891	481	0.0846322485831	0.52707808004	3	0.135293414323	0.578999328085	445	0.0426810879126	0.539253287194	414	0.0847079929398	0.528329509573
9_3_aa	sgd	tanh	0.501187233627	13	0.00215443469003	4	17	0.566014359651	0.79594321914	494	NA	NA	NA	0.621549088498	0.807493289247	498	NA	NA	NA	0.512123555387	0.757723305987	491	0.576394666124	0.786795018778
9aa	rmsprop	sigmoid	1.25892541179	5	0.215443469003	105	17	-0.211840053798	0.375766921748	389	0.0920280722953	0.569094709308	152	0.1873372812	0.565190300927	487	-0.0670559367236	0.44776796532	478	0.0935671569501	0.533303364613	17	-0.0174488378814	0.485324054635
9_3_aa	rmsprop	rectify	0.199526231497	3	4.64158883361e-06	105	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
feature_channel_9_3_aa	sgd	rectify	1.25892541179	2	0.000464158883361	4	74	-0.0844436597809	0.452413118331	476	0.155487204441	0.580979378341	373	-0.128323878941	0.440074172409	1	-0.0597143264983	0.445269375352	305	-0.0618048425681	0.50939659855	1	-0.0608273279861	0.474234390194
1_9_3_aa	adam	tanh	0.501187233627	1	1.0	1	4	nan	0.5	26	NA	NA	NA	0.0256559035418	0.501597089061	31	-0.0411359490161	0.494789027068	159	0.113931896788	0.519174673934	204	0.0442897061742	0.495678244446
9_3_aa	adam	tanh	1.25892541179	5	0.0001	22	1	-0.0792243781262	0.446362495329	182	NA	NA	NA	-0.16679981063	0.406712553235	1	0.16712302759	0.579273609934	47	-0.00390503027814	0.507070471758	28	-0.0754505911171	0.467148140012
9aa	adam	tanh	0.0	2	0.0001	4	316	0.594444732528	0.798552374838	472	0.618420061931	0.795710023188	431	0.716021472853	0.828784595646	434	0.650914370592	0.822468271917	455	0.584929396253	0.78594621161	462	0.643753942132	0.807988767102
1_9_3_aa	adam	sigmoid	0.0	5	2.15443469003e-05	105	4	0.594111496672	0.7967360516	500	NA	NA	NA	NA	NA	NA	0.608067720571	0.803126905615	499	0.589405829754	0.790906912785	482	0.597223266399	0.797066700174
9aa	adam	sigmoid	1.25892541179	2	0.215443469003	501	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9aa	rmsprop	sigmoid	0.501187233627	8	0.01	4	74	0.234319784791	0.585414886052	12	0.433261938939	0.695455633247	134	0.423451021782	0.66451066521	344	0.381717026701	0.657088285846	485	-0.0830249840218	0.5	10	0.334381496502	0.665596356652
1_9_3_aa	rmsprop	sigmoid	0.0	2	1.0	22	1	NA	NA	NA	nan	0.5	26	nan	0.5	344	-0.0130055088972	0.5	94	-0.0641337469907	0.5	429	0.0883660533565	0.528305372112
1_9_3_aa	sgd	sigmoid	0.0	1	0.000464158883361	1	1	0.533750213237	0.770082784699	483	NA	NA	NA	0.508698703234	0.743979023116	489	0.509216495689	0.752077008607	500	0.444694485195	0.711836161631	193	0.505924666439	0.748704048802
feature_channel_9_3_aa	adam	tanh	1.25892541179	1	0.0464158883361	1	4	-0.0492477892385	0.485217986844	100	NA	NA	NA	NA	NA	NA	0.125034456487	0.568301470975	422	0.0108359744027	0.498951797187	417	0.0595095450067	0.524553606049
1_9_3_aa	sgd	sigmoid	0.501187233627	50	2.15443469003e-05	4	1	0.186058920826	0.592528438608	500	0.0226285093076	0.519648852062	496	NA	NA	NA	0.172740135943	0.586863321623	468	0.199715178598	0.599889295236	293	-0.0262128993891	0.506438773473
feature_channel_9_3_aa	adam	sigmoid	1.25892541179	2	1.0	105	74	0.0175517830618	0.529284745674	167	NA	NA	NA	0.0213026286346	0.499792897313	438	0.0189348102773	0.479555893934	116	-0.0775385906245	0.446261402161	465	-0.0478543311074	0.477856058972
1_9_3_aa	adam	tanh	1.25892541179	5	2.15443469003e-05	1	74	-0.00273241329707	0.514889753277	12	0.0486655052837	0.522303184867	26	-0.08966491749	0.465107448146	5	-0.0273253127017	0.473772700871	19	-0.00107199110181	0.52874304632	240	0.00667948848271	0.502228270464
9_3_aa	adam	sigmoid	0.501187233627	1	0.0464158883361	22	17	8.8178890084e-17	0.5	464	-1.25181148592e-16	0.5	78	8.63078003002e-17	0.5	227	5.50012070601e-17	0.5	93	1.57652297304e-16	0.5	461	0.0914171561399	0.533772309209
9_3_aa	rmsprop	rectify	1.25892541179	13	0.0464158883361	22	74	0.110919889936	0.582353355059	54	-0.0984693366648	0.468705213615	182	NA	NA	NA	-0.137472023196	0.429563133687	68	0.0885495796925	0.574990439666	123	-0.0214025627309	0.500534777317
1_9_3_aa	adam	tanh	0.0	3	0.0464158883361	4	1	NA	NA	NA	1.25181148592e-16	0.5	258	8.63078003002e-17	0.5	36	-0.0364771114723	0.5	31	-1.57652297304e-16	0.5	174	0.090086431514	0.531569540925
9aa	rmsprop	tanh	0.501187233627	2	0.01	105	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9_3_aa	rmsprop	tanh	0.501187233627	50	1.0	4	4	nan	0.5	484	NA	NA	NA	-8.63078003002e-17	0.5	177	5.50012070601e-17	0.5	47	1.57652297304e-16	0.5	2	-0.00976174771105	0.497880250633
1_9_3_aa	rmsprop	tanh	0.501187233627	3	1.0	1	74	0.211520180869	0.600187978051	372	NA	NA	NA	-8.63078003002e-17	0.5	358	nan	0.5	233	0.149604504307	0.557957787809	92	0.152987826632	0.568629462158
9aa	adam	rectify	1.25892541179	2	2.15443469003e-05	105	316	-0.040283373981	0.459497969791	2	-0.0756426404123	0.469629104092	1	0.21806400026	0.609176728407	1	-0.0783800599223	0.441989579985	272	-0.00785575695365	0.49357065594	495	0.0315421301066	0.509115848482
9_3_aa	sgd	sigmoid	0.199526231497	5	0.215443469003	105	74	0.673235107133	0.834950410682	491	0.697674788387	0.837989529644	495	0.766118188308	0.85659905868	496	0.711529227827	0.85437196819	471	0.68700200888	0.838051806864	488	0.714729304888	0.845671978036
9_3_aa	adam	rectify	0.501187233627	21	0.01	22	1	-1.0	0.5	415	-1.0	0.5	168	8.63078003002e-17	0.5	306	-5.50012070601e-17	0.5	203	nan	0.5	150	0.0292832088673	0.521636108243
9_3_aa	rmsprop	rectify	0.199526231497	32	0.00215443469003	501	74	nan	0.5	134	NA	NA	NA	-0.0266020906115	0.5	61	-0.0252201382659	0.5	71	0.0242930718386	0.5	416	-0.0539087389988	0.48221172475
feature_channel_9_3_aa	adam	tanh	1.25892541179	21	0.000464158883361	4	17	-0.0374642105712	0.481202194863	220	-0.00414379678057	0.495678279259	178	0.121909494507	0.562110334385	437	-0.102010807754	0.446355519406	15	0.017841386489	0.513256710184	50	-0.0092435944567	0.492381415687
